Navn,Skuespiller,Beskrivelse
Casey og Jürgen Klins,Lars Hjortshøj og Lasse Rimmer,"Dansetrup fra Tyskland, der oplevede Murens fald."
Casper,Casper Christensen,Programmets vært.  Figuren udspringer fra - og spilles af - virkelighedens Casper Christensen.
Chris Super-diarrhea,Lars Hjortshøj,
Chuck Tennyson & China Pete,Lars Hjortshøj og Lasse Rimmer,Joviale mordere.
Ciarta Johnnysdottir,Lasse Rimmer,Momsspekulant i mejeriprodukter.
Cillas Wik Wik,Frank Hvam,Slangetæmmer.
Claes Jakob Baunspielser,Lars Hjortshøj,Bilforhandler og komponist. Går under navnene Claes (afsnit 3 og 4) og Jens (afsnit 44).
Claes Gynhjalter,Frank Hvam,"Formand for organisationen Dyrenes Hven og kommer selv fra Hven. Han taler for bedre transportforhold til slagtebier. Han erkender afslutningsvist, at han er ""skingrende sindssyg""."
Claudius Mendelssohn,Frank Hvam,Benægter alt.
Clausen,Frank Hvam,
Conan Lurbakke,Frank Hvam,"Conan Lurbakke er en handicappet mand, som gæster programmet. Conans handicapp ligger i, at han overhovedet ikke er i stand til at huske noget som helst. Casper er nødt til at gå ud bag kulisserne for at få hjulpet Conan ind i studiet, fordi Conan ikke selv ved, hvor han er, og hvor han skal hen. Faktisk ved han ikke engang, om han er Conan Lurbakke. Conan forsøger at komme overens med sit handicap ved at sætte noter på sig selv og andre. På nogle af Conans mange noter står blandt andet ""Niels er din bedste ven"", ""3 år i morgen"" og ""Afghansk Andenpræmie"". Inspirationen til navnet Conan kom fra den fiktive karakter Conan the Barbarian, og fordi Casper Christensen syntes, at navnet var sjovt.[1] Christensen har nævnt, at navnet også havde optrådt i et nytårsshow, som han lavede med Jan Gintberg, hvor en person med navnet Conan vandt i MandagsChancen.[1]"
Cornelius Heinesen,Lasse Rimmer,"Viser, hvordan man gør en cykel forårsklar."
Dadadaah,Frank Hvam,Lider af præstationsangst.
David Hasselhof,Lasse Rimmer,"David Hasselhof er rock and roll revisor for mange af de store danske kunstnere. Han har det meste af Henning Stærk og en lille smule af Don Johnson som kunder. Han deltager i et interview hvor han kommer med tips og tricks til hvordan den almindelige dansker kan spare penge. Et eksempel er, hvis man køber guldstrenge til sin steel guitar, kan man trække 30 kroner fra for hvert kilo man vejer mere end Jes Dorph Petersen.[2]"
David Mellemtech,Lars Hjortshøj,Tøjgartner.
Det nye Linie 3,"Casper Christensen, Frank Hvam og Lasse Rimmer",Det nye Linie 3.
Dennie Kennels,Lasse Rimmer,Charcuterie-entertainer.
Dennis Pelvis,Frank Hvam,Frankrigsekspert.
De tres tenorer,Lasse Rimmer,Tenorsangere.
De tre vise strandsten,"Frank Hvam, Lars Hjortshøj og Lasse Rimmer","Tre vise strandsten. Jeffersen, Dylan og Sir Henry/Ivanhoe. De har røget hashish."
Didrik Amundsen,Lars Hjortshøj,"34-årig quizdeltager i quizzen ""Klar, Parat, Spar!"", hvor det gælder om at skjule 25-ører i forskellige kropsfolder. Amundsen er medlem af Søren Kasters fanklub, som er en fanklub bestående af præcis 19 millioner (inklusiv alfer). Han er fra Rønne og når han ikke kapper hovedet af vaneforbrydere, bruger han sin fritid på at blende rodfrugter eller på at redigere og udgive sine egne religiøse pamfletter. [3]"
Didrik Motocross,Lasse Rimmer,Opvokset i et døvekollektiv.
Dieter Ponyhof,Frank Hvam,Berømt tysk komiker. Optræder med nummeret Nazi Stuhl.
Dino Stram,Lars Hjortshøj,"Dino Stram besøger Casper i alt to gange. Første gang Dino Stram er i studiet er det fordi barn nr. seks milliard blev født dagen før. Dino er nemlig selv barn nr. fem milliard. Dino fortæller Casper hvordan Dinos mor kæmpede for, at Dino skulle få æren af at være barn nr. fem milliard og at hun blandt andet var drægtig i to år. Da Casper spørger indtil hvad det har gjort for Dino svarer han, at det har hjulpet ham med at få fisse. Dino besøger senere programmet igen, da det viser sig, at han slet ikke er barn nr. fem milliard, men barn nr. hundrede tusinde og denne gang fortæller Dino, at han er med i Shu-Bi-Dua."
Djernis Halland,Jan Gintberg,Venlig opfinder.
Doktor Medcalf,Anders Matthesen,"Doktor med hænderne fulde af rekvisitter og kommer konstant med referencer til Tv-serien TAXA. Han er i besiddelse af ""Sandhedskiwien"", som får den, der holder den, til kun at tale sandt. Det røbes, at han bl.a. er en kvaksalver og impotent i store forsamlinger. Han går også under navnet Pepe."
Dommer Keith,Lars Hjortshøj,Dommer i retssagen Casper Christensen mod Bjarne Goldbæk.
Donnerdanserne,"Casper Christensen, Frank Hvam, Lars Hjortshøj og Lasse Rimmer",Medvirker i et klip fra deres opsætning af tv-musicalen Fame.
Drengen Ortmann,Frank Hvam,Linedanser og klovn.
Dubas Kreutz Delmenhorst,Lars Hjortshøj,Elastikmand.
Dåsen Allan,Lasse Rimmer,"Talende løg. Casper inviterer ham i studiet for at lave indslag til de børn, der måtte se med. Som regel ender det med, at han fortæller lidt om, at nogen eller noget skal ""skides i munden"". Inspirationen til figuren kom fra Casper Christensens folkeskoleår.[4] Christensen havde en klassekammerat ved navn Allan, hvis mor altid tiltalte ham ""lille Allan!"", når hun skældte ham ud.[4]"
Ebbe Karlmeyers (og unavngiven figur),Casper Christensen og Lars Hjortshøj,
Ebenezer Kvasthval,Lars Hjortshøj,Genert model.
Edgar,Lars Hjortshøj,Varmemester.
Eduardo Havana Goebbels,Lasse Rimmer,"21-årig quizdeltager i quizzen ""Klar, Parat, Spar!"", hvor det gælder om at skjule 25-ører i forskellige kropsfolder. Goebbels er medlem af Søren Kasters fanklub, som er en fanklub bestående af præcis 19 millioner (inklusiv alfer). Underviser Anholts gadebørn i svensk origami og er i stor narkogæld grundet amfetaminmisbrug.[3]"
Eiler Torps Nemelig,Lasse Rimmer,"Tidligere ejendomsmægler, der fik en erotisk åbenbaring ved at opdage en fugtskade i et rækkehus. Nemelig har siden optrådt i hele landet som en slags fugterotikkens apostel og er blevet Mosgaardsmuseets faste huskunstner."
Egern,"Frank Hvam, Lars Hjortshøj og Lasse Rimmer","En flok egern, som værtsfiguren Casper ansatte som erstatning for 1. sæsons tv-hold. Egernene har en tendens til pludseligt at synge Cirkeline har fødselsdag, mange gaver hun får."
Egon Cervezas Por Favor,Lasse Rimmer,Gysets mester.
Einer Brobrille,Frank Hvam,"Fremviser en pind, der er i stand til at finde alting. Pinden har bl.a. hjulpet Brobrille med at finde 37 kilo guld, som dog lå en milliard kilometer nede i jorden."
Elmo Gottlieb Våge,Lars Hjortshøj,"Kom ind for at fortælle om sin vilde arm som han ikke selv kunne styre. Armen var dækket til med pap, for at man ikke skulle genkende den. Armen havde blandt andet rakt hånden op i timerne, uden at han selv vidste hvad han skulle svare, onaneret på et kommunebibliotek, ikke gået med handsker om vinteren og så har den holdt en fremmed mand i hånden."
Elias Pottestepper,Lasse Rimmer,Foreningen Mænd uden grænser.
Emma,Lasse Rimmer,
Erik Toftgård Nielsen,Frank Hvam,Medvirker i en reklame for alfabetblod. En af få navngivne figurer fra programmets reklamer.
Falckredderen Raggamuffin,Frank Hvam,Falckredder.
Fax Flora,Frank Hvam,Mandlig stripper og forfatter til bogen Ensomhed - dit navn er diskokugle.
Filip Sut,Frank Hvam,Offer for kopist.
Fillippo Levian,Frank Hvam,Hi-fi-ekspert og fodboldnarkoman. Optræder med Closing Kitty Club; en dommedagsprofeti illustreret kun ved hjælp af puder.
Finn Nørbygaard & Finn Nørbygaard,Frank Hvam og Lasse Rimmer,Fortæller en morsom vittighed om forskellen på jyder og københavnere.
Fine Albert,Frank Hvam,Ekspert i mobning.
Fissirul Lohmann,Lars Hjortshøj,"Blev TV 2s chef, blev fyret af TV 2 og blev så ansat på Louisiana. Lohmann dukker op, da TV 2 angiveligt skal have ny chef. Her stiller Lohmann op som kandidat med mange gode ideer til, hvad der skal sendes på TV 2. Eksempler omfatter ""Knep Bubber"", hvor man ""så kunne gøre det på tid"", og ellers noget med en rumraket og bare bryster i rumraketten med Claus Elgaard som vært og Bubber i vægtløs tilstand."
Flemming Kirchschüner,Lars Hjortshøj,?
Flemming Timmernikke,Lasse Rimmer,Ubeslutsom hiphopper og lydordbogsforfatter.
Frans,Lasse Rimmer,
Fridtjof Kragemost,Lars Hjortshøj,
Fyrst Walter,Frank Hvam,"Studievejleder. Han er i studiet for at tale med Casper om, hvad han kan blive efter tv. Alle Caspers forslag, herunder at blive Susse Wold eller Zarens kurér bliver afslået. Walter foreslår, at Casper bliver et ringbind."
Gentleman Finn,Frank Hvam,"Identitetsforvirret gentleman. Finn blev interviewet gentagne gange af Casper Christensen, fordi han var begyndt på noget nyt i sit liv. Han har fx optrådt som nazist, satanist, pædofil, voldtægtsmand, homoseksuel, TV 2-ansat, samt asiat (da han skal drage med Pelle Klumpfeber og Broder Salsa til Kina). Finn kunne ikke se noget i galt i det han gjorde, da hans projekter jo blev støttet af kommunen og beskrevet i mange ringbind. I alle interviewene fik Casper overbevist Gentleman Finn om, at man ikke må gøre andre ondt, dog er episoden hvor Gentleman Finn er blevet ny TV 2-ansat stik modsat. Ifølge Frank Hvam er Gentleman Finns inderste ønske at være stueren.[5] Hvam mener også, at det er Finns evne til simultant at være ond og imødekommende, der gør ham til en sjov figur.[5]"
Gerda,Casper Christensen,
Gigi Epstein,Lars Hjortshøj,Fantomtegner.
Graham Kelvin,Lasse Rimmer,Har åbnet en sushi-restaurant på toppen af Kilimanjaro.
Grenen Kim,Lasse Rimmer,Træet som Kronprins Frederik plantede til fordel for foreningen Plant et træ.
Grytte Pytte Kytte,Lars Hjortshøj,Arkæolog.
Gunnar Lebbe,Lasse Rimmer,Folkekær visesanger.
Gunrack,Lasse Rimmer,Indeholder score-replikker fra 1980'erne.
Gunrack-reparatøren,John Cleese,?
Gusser Odderskov Vest,Lasse Rimmer,Ejer af et mintvaskeri i Herning.
Gynther Renouard,Frank Hvam,"Gynter Renouard gæster studiet for at fortælle om hvordan han er vant til, at blive afvist. Gynter er selvstændig erhvervsdrivende og børnelokker. Gynther er vant til, at blive afvist af børnene og det er hvad Casper snakker med ham om. Under interviewet fortæller Gynther blandt andet, at han lokker med rosenkål og vitaminpiller og, at nogle af de ting han kan finde på, at sige til børnene er fx ""Vil du med ned og totalrenovere en landejendom på Als?""."
Gøkhan Appel,Lars Hjortshøj,"Verdens mindste mand. Han bor i en plastik kop. Han har kneppet Cirkeline uden, at hun kunne mærke det. Han vil ikke erkende sin størrelse."
Hanenklee & Kreiler,Frank Hvam og Lars Hjortshøj,"To tyske sexforskere, der er i studiet for at demonstrere tre nyopfundne sexstillinger."
Harley Løvstik,Frank Hvam,"Harley Løvstik har udgivet bogen ""Sådan er der mange af de gamle sange som vi kender, der rent faktisk oprindeligt har en anden ordlyd, en anden tekst"". Han fortæller bl.a. at han har fundet de originale sangtekster hos munkene i Tibet som han har boet med siden han var ung. I løbet af interviewet går det dog hurtigt op for Casper at Harley Løvstik har forvekslet munke i Tibet med Papa Bue's Viking Jazz Band."
Hasle Ryberæv,Anders Matthesen,"Hasle Ryberæv er en gæst som Casper har i studiet i forbindelse med racisme. Hasle Ryberæv er nemlig andengenerations indvandre fra Sverige. Hasles forældre kom til Danmark i 1972 for at søge lykken. Hasles far kunne nemlig sige som en gren og var endda god til det. Derefter startede Hasles far et skovhuggerfirma, men det endte i en tragedie i hvilken tusind spejdere omkom. Hasles mor fortsatte dog med at plukke bær, samle tørv og selvfølgelig indspille pornofilm. Hasle føler, at hans svenske side bliver negligeret fordi han blandt andet ikke må snitte i toget eller have sin harmonika med på diskoteker. Hasle Ryberæv synes selv, at han er dansk – tyttebær dansk ifølge ham selv. Casper tilbyder ham derefter en hvid sten som enhver svensker skal gøre noget for, at gøre sig fortjent til."
Hassan,Frank Hvam,
Hassefar,Frank Hvam,Offer for sexchikane.
Hector Strix,Lasse Rimmer,Hverdagsdanser.
Henning,Frank Hvam,
Henning Ingenlunde,Lars Hjortshøj,Parodierer kendte altaner.
Hermes Tundra,Lasse Rimmer,Navneterapeut.
Herold Bueflis og Kelly Bødker,Frank Hvam og Lasse Rimmer,Skorstensfejer og hyrdinde.
Hoder Hotlipps Slidske,Lasse Rimmer,Konstruktør.
Horst Rema Nul Nix,Lasse Rimmer,Danser i pomfritter.
Hovedet i bordet,Anders Lund Madsen,Klog på 3D.
Humpfrey Desmond Tutu,Lasse Rimmer,"Humpfrey Desmond Tutu er kritiker. Han klager over, at Casper hetzer sine gæster. Han får et minuts taletid til at få renset luften og give Casper en dosis af sin egen medicin, hvilket han bruger på en smædevise i to enslydende vers: ""Casper han er homoseksuel, han dyrker seksuelt samkvem med sig selv og hans kone hedder Keld"". Casper modtager derefter et opkald fra sin farmor, der vil høre, hvor vidt han er blevet homoseksuel. Interviewet ender med, at Humfhrey spørger efter Caspers autograf, hvilket han afslår. Hovedelementerne i sketchen er referencer til 1990'ernes kritik af Casper Christensens påståede grove humor, samt et callback til Caspers tidlige tv-karriere, hvor han havde en værtstjans på Danmarks Radio i børneprogrammet Hvaffor 1 hånd, hvori et af de faste indslag var, at Caspers hans far ringede ind med irettesættende formaninger til det han foretog sig i det pågældende afsnit."
Ibiza Polar,Lars Hjortshøj,"Lider af forvrænget virkelighedsopfattelse. Ibiza oplever Casper sige noget andet end vi gør, typisk noget, der lyder kinesisk. Ibiza svarer derefter."
Idéernes Venner,"Casper Christensen, Frank Hvam, Lars Hjortshøj og Lasse Rimmer","Forening, der vejleder forbrugerne i bedre at udnytte de ting, de har i forvejen. Foreningen består af de fire medlemmer: Angelica Houston, Skat Henningsen, Steffen Bep og Torben Eller Murmark."
Ingemar Hildelyst,Frank Hvam,"Har boet i et Ikea-skab hele sit liv og har derfor haft svært ved at møde damer. Casper får ham overtalt til at komme ud af skabet, men fortryder det straks da han ser Ingmars ansigt, som er dækket af cornflakes."
Isak,Anders Matthesen,"Præsenterer quizdeltagerne i quiz-programmet Klar, parat, spar!."
Isak Spas,Lasse Rimmer,New Age-fakir.
Ivar Urd,Frank Hvam,Frivillig indsamler.
Jake Ritterband,Frank Hvam,Værtaspirant.
Jakob Majkilde,Lasse Rimmer,Våbensælger.
Janni Henrik,Lasse Rimmer,Boksepromoter.
Jarl Fonbørs,Frank Hvam,Vægtløs og ansvarlig for at flytte studiet en centimeter til højre.
Jean Carlo,Sebastian Dorset,Sigøjner.
Jean Tim & Jean Per,Lars Hjortshøj og Lasse Rimmer,Sminkører.
Jeff Denkendorff,Frank Hvam,Vejrvært.
Jens Jackson,Frank Hvam,Ubådskaptajn og fan af tv-serien Taxa.
Jeppe Vælling,Frank Hvam,"Produktiv rockmusiker. Hele Danmarks nationalskjald, der ugen op til et besøg hos Casper har udgivet 27 plader. Én af hans mest populære plader hedder ""To Spandauere og En Lille Liter Let"", der er nr. 4 på Helses hitliste."
Jericho Lala,Lars Hjortshøj,Detektiv. Han er en uhyre hurtig fantomtegner og bruger interflora som database.
Jimbo,Lars Hjortshøj,
Jimmy Naller og Bauditz,Anders Matthesen og Lars Hjortshøj,Naller er kropsforsker og har taget en ven med. De skal sammen forsøge at hjælpe Casper til at sidde ordentligt.
Joakim Tüddel,Lasse Rimmer,Multiportokunstner.
Joe Alex,Lars Hjortshøj,Tidsrejsende.
Johannes Hot,Frank Hvam,Udbryderkonge.
Johannes Ludvig,Frank Hvam,Danseekspert.
John Gringo,Lasse Rimmer,"Han mener selv at være verdens mest populære mand. Ifølge ham selv skyldes hans store popularitet, at han har tv-reklamerne i ryggen."
John Datsum,Frank Hvam,Født som et HFI-relæ. Kan overfære sin sjæl til helt tilfældige genstande.
John Delaware,Frank Hvam,Målgruppeforsker.
Jon Bon Jovi,Frank Hvam,Forklædt som Rick Astley og Sting.
Josef Kammerly,Lars Hjortshøj,Alternativ behandler.
Josti & Steffen,Casper Christensen,Hånddukker.
Julius Hazard,Frank Hvam,"Julius Hazard er en købmand som efter, at have haft et overskud af bacon på sit lager har ændret sin livsstil på drastisk vis. Casper har inviteret Julius Hazard for at snakke med ham om denne handling. Julius er nemlig blevet baconhoved. Julius er frygtelig ked af sit valg og starter interviewet med at fortælle Casper, at han har fortrudt. Casper prøver, at opmuntrer Julius, men uden den store succes. Julius føler sig ikke respekteret af samfundet, hvilket han blandt andet føler på forældremøder. Casper trøster Julius og de finder snart ud af, at Julius har et skjult talent – han har nemlig rytme! Og det er noget folk godt kan lide mener Julius, så Julius går glad fra studiet."
Hørgen Gungading,Lasse Rimmer,Lider af kronisk ironi.
Kenan Pløs,Lasse Rimmer,22 år gammel og ufaglært snedker. Medlem af UFO-kulten De Himmelse Kusiners Ferieudflugt. Stenbuk.
Kenneth,Lasse Rimmer,Niels Jørgen Steens lillebor og mor til Tina Turner.
Kenneth Kiwistone,Lars Hjortshøj,"Selvlært kirurg, habil petanque-kommentator og formand for Dansk Bøsse- og Madvareforbrug. Han er gæst i forbindelse med Temalørdag - Nu om onsdagen, der handler om forbrugerservice. Han forklarer blandt andet seerne, at Kristeligt Dagblad ikke længere er vandtæt. Han har desuden været udsat for en frygtelig ulykke ved Tappernøje og viser også, hvordan man undgår, at Robinson-holdet går i opløsning. Værtsfiguren Casper kalder ham ved et uheld for Livingstone, hvilket giver ham det samme navn som den engelske politiker Kenneth Livingstone."
Kenzo-kuplen,"Casper Christensen, Frank Hvam, Lars Hjortshøj og Lasse Rimmer",Dansetrup. Optræder først med krybbespillet Æggene og opstandelsen og senere med nummeret Hi-tech Gakov.
Kévin,Lars Hjortshøj,Mandschauvinist.
Kim Bellamonte,Frank Hvam,?
Kjukke Mimergolf,Lasse Rimmer,Homo sapiens. Fortæller om sit forhold til en vinbjergsnegl.
Kilimanjaro Jepsen,Lasse Rimmer,"Optræder med sine ""happy lammekøller."""
Kiss Sleipner,Lars Hjortshøj,Sejlsportstalent og 7 år gammel.
Klaus,Anders Matthesen,Fra Bomb Squad.
Klaus Kardida,Frank Hvam,En fredens mand.
Klovnen Liljan,Frank Hvam,Optræder i talentkonkurrencen med sit show Limelight.
Kresten Pikhår,Frank Hvam,Seksualvejleder.
Krøsus Palnatoge,Lasse Rimmer,Ensom.
Kurt Thyboe & Kurt Thyboe,"Casper Christensen, Frank Hvam og Lasse Rimmer",?
Kål Frederik & Lars Tærskeværk,Frank Hvam og Anders Matthesen,Folkedansere fra Dansk Folkedans Union.
Lars Krimi,Frank Hvam,Selvkritisk mimer.
Lars Pejsekammer,Frank Hvam,"Har i sinde at løbe New York marathon, mens han ""kvæler en kattemis med de bare næver""."
Larsen,Lars Hjortshøj,
Laughing Eagle,Lars Hjortshøj,"Den næstsidste mohikaner. I første omgang er Laughing Eagle inviteret ind for at tale om, hvorfor indianerne er ved at uddø, men interviewet tager en uventet drejning. Det ender med at Casper beskylder Laughing Eagle for værnemageri og sender Laughing Eagle ud af studiet. Til det andet interview vil Casper gerne give Laughing Eagle en chance til men ender igen med at se sig sur på Laughing Eagle og beskylder ham nu for at sympatisere med Japanerne under 2. verdenskrig. Den tredje gang Laughing Eagle er i studiet er det sammen med Wesley Snipes, hvor de skal tale om diskriminering. Også denne gang bliver Casper gal på Laughing Eagle og beskylder nu indianerne for ikke at hjælpe passagerne på Titanic."
Laust Willo Willo,Lars Hjortshøj,Danser.
Lennart Berthelsen,Lars Hjortshøj,
Lennart Rousseau,Frank Hvam,Arkivar.
Lil-Babs,Lasse Rimmer,Tiggermunk.
Liller Dressine Pee-pee,Lars Hjortshøj,I stand til at få en dåse med mintgele til at lette blot ved dans og lydeffekter. Optræder med det forrygende æggende nummer After Eight.
Lintz Calvin Ankerby,Lars Hjortshøj,Luft- og portrætfotograf.
London-Lars,Lasse Rimmer,
Lonnie Pandra,Lasse Rimmer,Meningsmåler fra Gallup.
Louis the Liver,Anders Matthesen,
Lucy,Iben Sol Mauritson,Ringer ind med et spørgsmål til Det Okkulte Hjørne.
Lukas Pensacola,Lasse Rimmer,?
Lusty Dave,Frank Hvam,Forsøger at lægge verdens største kabale.
Lydias Tati,Lasse Rimmer,Nødhjælpsarbejder.
Lydolf Minsk,Lasse Rimmer,Forsker i nye stjernekonstallationer.
Machieu,Lars Hjortshøj,Producer på programmet.
Mad Asta,Frank Hvam,"Mand, der fejler meget."
Mand fra Venezuela,Freulein,
Mandrillen,Lasse Rimmer,"Figuren, der har lagt navn til programmet."
Mandy Krus,Lars Hjortshøj,Dukketeaterentusiast.
Marius Caracas,Lasse Rimmer,Superracist.
Mario Rawanda,Lars Hjortshøj,"Stenrig patenttager med kraftige tics. Han er blevet rig, fordi han har taget patent på forskellige ting, bl.a. ild, kogt vand og lys. Casper bliver vred på Mario over, at man skal betale for at have lys tændt, for at få varmet sine hænder og for at drikke en kop varm kakao. Casper siger derfor, at han vil slukke alt lys og sidde i sin egen lille luftlomme uden at drikke eller trække vejret, så han ikke skal betale afgifter. Mario fortæller dog at dette ikke kan lade sig gøre, da han også har patent på lommer."
Massimo Blanco,Lasse Rimmer,Reb-artist.
Maximillian Syfax,Lars Hjortshøj,"Brugtshowsforhandler. Syfax optrådte hen imod slutningen af 1. sæson, og han ville købe det studie Casper lavede optagelserne i, og derefter lave et nyt program, Skumsprøjt i søstjernen, beskrevet af Syfax som ""et erotisk sejlsportsmagasin"". Syfax var en rolle som blev introduceret for at imødegå den mulighed, at DR2 ikke ville forlænge Casper & Mandrilaftalen med yderligere en sæson. DR2 valgte i sidste ende at forlænge med yderligere en sæson. Det blev i programmet forklaret ved, at figuren Bjarne Goldbæk blev solgt til FCK, holdet som virkelighedens Bjarne Goldbæk i en del sæsoner spillede for, hvorefter Casper brugte salgssummen til at købe sig fri af sine økonomiske problemer."
McGregor Mövenglutt,Lars Hjortshøj,Månedens medarbejder.
Melissa,Lars Hjortshøj,Børnepasser og mærkesnob.
Mentos Thorsen,Lasse Rimmer,Lynsnar.
Mester Thor,Lasse Rimmer,Imitator.
Meyer,Lasse Rimmer og Sebastian Dorset,
Mogens Tube,Frank Hvam,Pælesidder.
Mogens Volvo,Lars Hjortshøj,Bruger af pendul-hårtørreren. Optræder i en reklame for samme produkt.
Molle Bedstefik,Lars Hjortshøj,Videnskabsmand.
Mona Bandy,Lasse Rimmer,Overordentligt overtroisk.
Morten Frost,Anders Matthesen,
Mørke Ruddin,Frank Hvam,Lider af lysoverfølsomhed.
Nadja,Lars Hjortshøj,
Newton Dynamose,Lars Hjortshøj,"Ekspert i bogmærker. Han skulle eftersigende være en parodi på Niels Boch, som underviser på Marselisborg Gymnasium.[kilde mangler] Tore L. Hanhøj har også samme tics med at gentage ""shh"" konsekvent mens andre taler og ind mellem egne sætninger. Niels Boch har også lagt navn til Niels Buckingham i Langt fra Las Vegas.[kilde mangler]"
Niels Esp,Frank Hvam,"Stor fan af programmet, der har brugt 6-7 år på at bage en kage til værtsfiguren Casper som tak for udsendelserne. Blandt ingredienserne i kagen er bl.a. medlemmerne fra Kaos Krew, grisekød, rochefort og krymmel."
Niller Sass Ungdom,Lasse Rimmer,"Har lavet Nillers Plejehjem, som er et omrejsende plejehjem, som tager ud til byfester og karneval og lægger en dæmper på stemningen."
Nonnie,Lasse Rimmer,
Norm,Anders Matthesen,"Norms hænder er blevet til hollandske træsko efter en gyserfilm, der omhandler flotte hænder, hvilket Casper morer sig meget med. Sketchen er også en af de eneste hvor Casper driller gæsten med hans problem."
Olav Vretthorn,Frank Hvam,Optræder med et dejligt stykke musik spillet på glas.
